Id_Regione;Id_Unità;Provincia;Comune;Categoria;Tipologia;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato;Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Presenza di cause che creano o favoriscono la dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta allaria;Effettiva superficie con amianto friabile (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano(m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi totali stimati dell’intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
113;95;BZ;ANDRIANO;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;10;;850;1;1;1;2;3;;5;0;50;1;5;1;;1;1;10;5;0;4;2;A;;750;0;750;4;0,4;213;671591;5154280
113;103;BZ;ORA;2;Edifici residenziali;copertura;1;1;1;1;15;;68000;1;1;1;2;5;;8;0;4000;1;30;1;;1;1;10;3;0,24;2;2;C;C;59976;0;59976;5;0,3;144,9;676711;5136446
113;104;BZ;SAN LORENZO DI SEBATO;1;Edifici industriali e loro pertinenze;copertura;1;1;1;2,5;15;;51000;1;1;1;2;9;;8;0;3000;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;271,8;722640;5185435
113;105;BZ;SAN LORENZO DI SEBATO;1;Edifici industriali e loro pertinenze;copertura;1;1;1;2,5;10;;2720;1;1;1;2;5;;5;;160;1;5;1;;1;1;10;5;0;4;2;A;;2399;0;2399;4;0,4;221,4;722860;5185645
113;106;BZ;BRUNICO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;7820;1;1;1;2;5;;5;0;460;1;30;1;;1;1;10;5;0;4;2;A;;6897;0;6897;4;0,4;281,4;724289;5186878
113;108;BZ;BRUNICO;2;Edifici artigianali e di servizi;copertura;1;1;1;1;15;;15300;1;1;1;2;5;;8;;900;1;5;1;;1;1;10;5;0;4;2;C;C;13495;0;13495;5;0,3;125,1;723212;5185741
113;113;BZ;CAMPO TURES;2;Edifici residenziali;copertura;1;1;1;2,5;10;;2890;1;1;1;2;5;;5;;170;1;5;1;;1;1;10;5;0;4;2;A;;2549;0;2549;4;0,4;221,4;725142,15;5198243,3
113;115;BZ;SAN LORENZO DI SEBATO;2;Edifici residenziali;copertura;1;1;1;1;15;;11900;1;1;1;2;5;;8;0;700;1;5;1;;1;1;10;5;0;4;2;C;C;10496;0;10496;5;0,3;125,1;721295;5183530
113;119;BZ;SAN LORENZO DI SEBATO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;8160;1;1;1;2;5;;5;0;480;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;221,4;722548;5185681
113;120;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;5950;1;1;1;2;3;;5;0;350;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;213;664528;5169146
113;121;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;6800;1;1;1;2;3;;5;0;400;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;213;665261;5169489
113;122;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;2,5;15;;11560;1;1;1;2;5;;8;0;680;1;5;1;;1;1;10;5;0;4;2;A;;10196;0;10196;4;0,4;255;666955;5166221
113;123;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;1;10;;5950;1;1;1;2;5;;5;0;350;1;5;1;;1;1;10;5;0;4;2;C;C;5248;0;5248;5;0,3;110,7;665812;5169710
113;124;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;1;10;;5100;1;1;1;2;3;;5;0;300;1;30;1;;1;1;10;5;0;4;2;C;C;4498;0;4498;5;0,3;152,1;665768;5169717
113;125;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;1;10;;5950;1;1;1;2;3;;5;0;350;1;30;1;;1;1;10;5;0;4;2;C;C;5248;0;5248;5;0,3;152,1;665790;5169702
113;126;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;1;10;;5950;1;1;1;2;3;;5;0;350;1;5;1;;1;1;10;5;0;4;2;C;C;5248;0;5248;5;0,3;107,1;665810;5169684
113;127;BZ;MERANO;2;Edifici residenziali;copertura;1;1;1;1;10;;6800;1;1;1;2;3;;5;0;400;1;5;1;;1;1;10;5;0;4;2;C;C;5998;0;5998;5;0,3;107,1;665783;5169665
