"ID";"CODICE";"DENOMIAZIONE";"CAP";"CITTA'";"PROV";"GIS x";"GIS y";"GIS Z";"PUNTEGGIO SITO Hp1";"PUNTEGGIO SITO Hp2";"CLASSE DI PRIORITA'";"TIPOLOGIA DI MCA";"PRESENZA DI CONFINAMENTO";"ACCESSIBILITA'";"TIPOLOGIA DI ATTIVITA'";"i1";"i2";"i3";"i4";"i5";"i6";"i7";"i8";"i9";"i10";"i11";"i12";"i13";"i14";"i15";"i16"
286;"PR011EP0024";"PROVINCIA DELLA SPEZIA";;"DEIVA MARINA";"SP";0;0;;;362;3;2;2;1;2;5;1;3;1;;3;5;1;5;;;;;1;2;
287;"PR011EP0025";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";0;0;;;217;3;2;2;1;2;5;1;1;1;;3;5;1;5;;;;;1;2;
288;"PR011EP0026";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";0;0;;;247;3;2;2;1;2;5;1;1;1;;3;5;1;5;;;;;3;2;
289;"PR011EP0027";"PROVINCIA DELLA SPEZIA";;"SARZANA";"SP";0;0;;;411;3;2;2;1;2;5;1;3;;;3;5;1;5;;;;;3;2;
290;"PR011EP0028";"PROVINCIA DELLA SPEZIA";;"ORTONOVO";"SP";0;0;;;485;3;2;2;1;2;5;1;3;1;;3;5;1;5;;;;;3;4;
291;"CO011001001";"COMUNE DI AMEGLIA";19031;"AMEGLIA";"SP";1577810;4878365;;;221;4;2;2;2;1;10;1;1;1;;3;5;1;5;;;;20;3;2;10
292;"CO011004001";"COMUNE DI BOLANO";19020;"BOLANO";"SP";1571755;4893285;;;231;4;2;2;2;1;5;10;1;1;;5;5;1;;;;1;20;3;2;
293;"CO011004002";"COMUNE DI BOLANO";;"BOLANO";"SP";1570428;4891310;;;201;4;2;2;2;1;5;10;1;1;;3;5;1;;;;;10;3;4;
294;"CO011004003";"COMUNE DI BOLANO";;"BOLANO";"SP";1570325;4891883;;;244;4;2;2;2;1;10;10;1;;;;8;3;5;;;1;20;1;;
295;"CO011004004";"COMUNE DI BOLANO";;"BOLANO";"SP";1570227;4893870;;;202;4;2;2;2;1;5;10;1;1;;3;5;3;5;;;1;10;5;2;
296;"CO011004005";"COMUNE DI BOLANO";;"BOLANO";"SP";1570749;4890989;;;265;4;2;2;2;1;5;10;1;1;;5;5;1;;;;1;20;5;4;
297;"CO011004006";"COMUNE DI BOLANO";19020;"BOLANO";"SP";1570561;4890735;;;541;4;2;2;2;1;10;10;1;1;5;5;8;1;;;;1;20;3;4;
298;"CO011004007";"COMUNE DI BOLANO";;"BOLANO";"SP";1570546;4891015;;;726;2;2;2;1;1;5;10;1;;2;5;5;1;;;1;1;20;5;2;10
299;"CO011014001";"COMUNE DI FRAMURA";;"FRAMURA";"SP";544457,02;4894779,15;;;384;2;2;2;1;1;5;1;1;1;;3;5;1;5;;;;10;3;2;
300;"CO011020001";"COMUNE DI ORTONOVO";19034;"ORTONOVO";"SP";583079,74;4881353,81;;;659;2;2;2;1;1;10;10;1;1;;3;5;;5;;;;20;5;2;2
301;"CO011021001";"COMUNE DI PIGNONE";19020;"PIGNONE";"SP";557077,69;4893230,38;;;148;4;2;2;2;2;5;10;1;1;;3;5;1;;;;;5;3;4;
302;"CO011021002";"COMUNE DI PIGNONE";19020;"PIGNONE";"SP";0;0;;;223;4;2;2;2;2;5;10;3;1;;3;;1;;1;;;5;3;;
303;"CO011021003";"COMUNE DI PIGNONE";19020;"PIGNONE";"SP";0;0;;;640;2;2;2;1;1;5;10;1;1;;3;5;1;;;;;20;3;4;
304;"CO011021004";"COMUNE DI PIGNONE";19020;"PIGNONE";"SP";557112,09;4893105,72;;;724;2;2;2;1;1;5;10;1;1;;5;5;;;;;;20;5;4;
305;"CO011022001";"COMUNE DI PORTOVENERE";19025;"PORTOVENERE";"SP";566771,84;4879575,73;;;696;2;2;2;1;1;5;1;1;1;;3;5;1;5;;;;20;5;4;10
306;"CO011031001";"COMUNE DI VEZZANO LIGURE";19020;"VEZZANO LIGURE";"SP";568156,45;4888302,53;;;589;2;2;2;1;1;5;10;1;1;;3;5;1;5;;;;20;3;2;2
307;"CO011031002";"COMUNE DI VEZZANO LIGURE";19020;"VEZZANO LIGURE";"SP";0;0;;;625;2;2;2;1;1;10;10;1;1;;3;5;1;5;;;;20;3;2;2
308;"CO011031003";"COMUNE DI VEZZANO LIGURE";19020;"VEZZANO LIGURE";"SP";570455,45;4887842,23;;;659;2;2;2;1;1;10;10;1;1;;3;5;1;5;;;;20;5;2;2
309;"CO011031004";"COMUNE DI VEZZANO LIGURE";19020;"VEZZANO LIGURE";"SP";571080,62;4888086;;;172;5;2;1;2;1;5;10;1;1;;3;5;1;5;;;;20;5;4;2
310;"LCCE0111001";"CHIESA EVANGELICA DEI FRATELLI DI CASTELN.  MAGRA";19124;"CASTELNUOVO MAGRA";"SP";581537,59;4882200,87;;;237;5;2;1;1;1;5;10;1;1;;3;5;1;;;;1;10;5;4;10
