"Id_Regione";"ID_Unita";"Provincia";"Comune";"Categoria";"Descrizione materiali";"Tipologia";"A - Friabilità";"B - Uso pubblico";"C - Accessibilità";"D - Presenza di confinamento";"I1 - Quantità di materiale stimato (Kg)";"Peso stimato friabile (kg)";"Peso stimato compatto (kg)";"I2 - Presenza di un programma di manutenzione e controllo";"I3 - Attività";"I4 - Dispersione di fibre";"I5 - Concentrazione di fibre aerodisperse (ff/l)";"I6 - Area di estensione del sito (m2)";"Effettiva area perimetrale (m2)";"I7 - Superficie esposta all’aria (m2)";"Effettiva superficie con amianto friabile  (m2)";"Effettiva superficie con amianto compatto (m2)";"I8 - Coinvolgimento del sito in lavori di urbanizzazione";"I9 - Stato di conservazione delle strutture edili";"I10 - Tempo trascorso dalla dismissione (anni)";"Data dismissione (gg-mm-aaaa)";"I11 - Tipologia di amianto presente";"I12 - Dati epidemiologici";"I13 - Frequenza di utilizzo";"I14 - Distanza dal centro urbano (m)";"Distanza dal centro urbano (km)";"I15 - Densità di popolazione";"I16 - Età media dei soggetti frequentatori (anni)";"Tipo di bonifica";"Tipo di intervento";"Costi Totali stimati dell'intervento (€)";"Fondi locali/regionali assegnati";"Fondi da richiedere";"Punteggio Mappatura";"Classe di priorità";"Coefficiente di priorità";"Punteggio Mappatura";"Coordinate X (WGS84-UTM fuso 32)";"Coordinate Y (WGS84-UTM fuso 32)"
3;"2T_0104";"Aosta";"SARRE";2;;"Grande distribuzione commerciale";1;2,5;1;2,5;10;0;6639;10;1;5;2;3;;5;"0";391;1;5;1;;1;1;20;3;;2;2;0;0;11730;0;11730;289;4;0,4;288,6;365196;5064589
3;"2T_0107";"Aosta";"SARRE";2;;"Strutture turistiche ricettive";1;2,5;1;2,5;10;0;1438;10;1;5;2;3;;5;"0";85;1;30;1;;1;1;20;3;;2;2;0;0;2550;0;2550;394;4;0,4;393,6;365464;5064799
3;"2T_0117";"Aosta";"SARRE";2;;"Edifici artigianali e di servizio";1;2,5;1;2,5;10;0;5202;10;1;5;2;3;;5;"0";306;1;5;1;;1;1;20;3;;2;2;0;0;9180;0;9180;289;4;0,4;288,6;366020;5065027
3;"2T_0118";"Aosta";"SARRE";2;;"Edifici artigianali e di servizio";1;2,5;1;2,5;10;0;5921;10;1;5;2;3;;5;"0";348;1;5;1;;1;1;20;3;;2;2;0;0;10440;0;10440;289;4;0,4;288,6;366023;5065005
3;"2T_0119";"Aosta";"SARRE";2;;"Edifici artigianali e di servizio";1;2,5;1;2,5;10;0;6364;10;1;5;2;3;;5;"0";374;1;5;1;;1;1;20;3;;2;2;0;0;11220;0;11220;289;4;0,4;288,6;366037;5065014
3;"2T_0120";"Aosta";"SARRE";2;;"Edifici residenziali";1;2,5;1;2,5;10;0;9104;10;1;5;2;5;;8;"0";536;1;5;1;;1;1;20;5;;2;2;0;0;16080;0;16080;339;4;0,4;339;366205;5065172
3;"2T_0122";"Aosta";"SARRE";2;;"Edifici artigianali e di servizio";1;1;1;2,5;10;0;4470;10;3;5;2;3;;5;"0";263;1;5;3;;1;1;5;3;;2;2;0;0;7890;0;7890;297;4;0,4;297;366293;5065210
3;"2T_0123";"Aosta";"SARRE";2;;"Edifici artigianali e di servizio";1;1;1;2,5;10;0;9527;10;1;5;2;5;;8;"0";560;1;5;1;;1;1;20;3;;2;2;0;0;16800;0;16800;230;4;0,4;230,4;366327;5065228
3;"2T_0124";"Aosta";"SARRE";2;;"Edifici artigianali e di servizio";1;1;1;2,5;15;0;20246;10;1;5;2;5;;8;"0";1191;1;30;1;;1;1;20;3;;2;2;0;0;35730;0;35730;311;4;0,4;311,4;366365;5065252
3;"2T_0125";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;4498;10;1;5;2;3;;5;"0";265;1;5;1;;1;1;20;3;;2;2;0;0;7950;0;7950;209;4;0,4;209,4;366415;5065279
