,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
69,LU,PIAZZA AL SERCHIO,POSTE ITALIANE S.p.A.,VIA VALLI,36/a,Ufficio aperto al pubblico,125,PIAZZA AL SERCHIO VIA VALLI,"(44.1832967, 10.2995532)",44.1832967,10.2995532
70,LU,PIETRASANTA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),VIALE APUA,,impianto di riduzione gas metano,100,PIETRASANTA VIALE APUA,"(43.9440421, 10.2035365)",43.9440421,10.2035365
71,LU,PIEVE FOSCIANA,POSTE ITALIANE S.p.A.,VIA EUROPA,9,Ufficio aperto al pubblico,125,PIEVE FOSCIANA VIA EUROPA,"(44.1336698, 10.4106261)",44.1336698,10.4106261
72,LU,PORCARI,SCA PACKAGING SPA,Via del Frizzone,13,IMPIANTO INDUSTRIALE,,PORCARI Via del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
73,LU,PORCARI,SCA PACKAGING SPA,Via del Frizzone,13,IMPIANTO INDUSTRIALE,,PORCARI Via del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
74,LU,PORCARI,SCA PACKAGING SPA,Via  del Frizzone,13,IMPIANTO INDUSTRIALE,,PORCARI Via  del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
75,LU,PORCARI,SCA PACKAGING SPA,Via del Frizzone,13,IMPIANTO INDUSTRIALE,,PORCARI Via del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
76,LU,PORCARI,SCA HYGIENE PRODUCTS SPA,via del Frizzone,,IMPIANTO INDUSTRIALE,,PORCARI via del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
77,LU,PORCARI,SCA HYGIENE PRODUCTS SPA,via del Frizzone,,IMPIANTO INDUSTRIALE,,PORCARI via del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
78,LU,PORCARI,SCA HYGIENE PRODUCTS SPA,via del Frizzone,,IMPIANTO INDUSTRIALE,,PORCARI via del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
79,LU,PORCARI,SCA HYGIENE PRODUCTS SPA,via del Frizzone,,IMPIANTO INDUSTRIALE,,PORCARI via del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
80,LU,PORCARI,SCA HYGIENE PRODUCTS SPA,via del Frizzone,,IMPIANTO INDUSTRIALE,,PORCARI via del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
81,LU,PORCARI,SCA HYGIENE PRODUCTS SPA,via del Frizzone,,IMPIANTO INDUSTRIALE,,PORCARI via del Frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
82,LU,PORCARI,cires spa,VIA CARLOTTI,42,SITO DISMESSO,,PORCARI VIA CARLOTTI,"(43.8226142, 10.6187561)",43.8226142,10.6187561
84,LU,PORCARI,DELICARTA SPA CARTIERA,via di lucia,23,IMPIANTO INDUSTRIALE,,PORCARI via di lucia,"(43.8206741, 10.6094099)",43.8206741,10.6094099
85,LU,PORCARI,SCA HYGIENE PRODUCTS SPA,via del frizzone,,IMPIANTO INDUSTRIALE,,PORCARI via del frizzone,"(43.8192495, 10.6048336)",43.8192495,10.6048336
86,LU,PORCARI,CARTIERA LUCCHESE SPA,VIA CIARPI,77,IMPIANTO INDUSTRIALE,,PORCARI VIA CIARPI,"(43.8495991, 10.6140662)",43.8495991,10.6140662
87,LU,PORCARI,CARTIERA LUCCHESE SPA,VIA CIARPI,77,IMPIANTO INDUSTRIALE,,PORCARI VIA CIARPI,"(43.8495991, 10.6140662)",43.8495991,10.6140662
88,LU,PORCARI,CARTIERA LUCCHESE SPA,VIA CIARPI,77,IMPIANTO INDUSTRIALE,,PORCARI VIA CIARPI,"(43.8495991, 10.6140662)",43.8495991,10.6140662
89,LU,PORCARI,CARTIERA LUCCHESE SPA,VIA CIARPI,77,IMPIANTO INDUSTRIALE,,PORCARI VIA CIARPI,"(43.8495991, 10.6140662)",43.8495991,10.6140662
90,LU,PORCARI,CARTIERA LUCCHESE SPA,VIA CIARPI,77,IMPIANTO INDUSTRIALE,,PORCARI VIA CIARPI,"(43.8495991, 10.6140662)",43.8495991,10.6140662
91,LU,PORCARI,CARTIERA LUCCHESE SPA,VIA CIARPI,77,IMPIANTO INDUSTRIALE,,PORCARI VIA CIARPI,"(43.8495991, 10.6140662)",43.8495991,10.6140662
92,LU,PORCARI,SOFFASS SPA,LECCIO,19,IMPIANTO INDUSTRIALE,,PORCARI LECCIO,"(43.8247245, 10.6230013)",43.8247245,10.6230013
93,LU,PORCARI,SOFFASS SPA,LECCIO,19,IMPIANTO INDUSTRIALE,,PORCARI LECCIO,"(43.8247245, 10.6230013)",43.8247245,10.6230013
94,LU,PORCARI,SOFFASS SPA,LECCIO,19,IMPIANTO INDUSTRIALE,,PORCARI LECCIO,"(43.8247245, 10.6230013)",43.8247245,10.6230013
95,LU,SAN ROMANO IN GARFAGNANA,AZIENDA USL2 DI LUCCA,VIA DELLE PIANE -  VILLETTA,1,Ospedale/Casa di cura,540,SAN ROMANO IN GARFAGNANA VIA DELLE PIANE -  VILLETTA,,,
96,LU,SERAVEZZA,STAZIONE CARABINIERI,MARCONI,315,caserma carabinieri,359,SERAVEZZA MARCONI,,,
97,LU,SERAVEZZA,ARMA CARABINIERI,via Marconi,3/5,Ufficio aperto al pubblico,359,SERAVEZZA via Marconi,,,
98,LU,VIAREGGIO,POSTE ITALIANE S.p.A.,VIA DANTE ALIGHIERI,2,Ufficio aperto al pubblico,228,VIAREGGIO VIA DANTE ALIGHIERI,,,
99,LU,VIAREGGIO,ISTITUTO TECNICO NAUTICO ARTIGLIO,VIA DEI PESCATORI,,Scuola,2650,VIAREGGIO VIA DEI PESCATORI,"(43.8591383, 10.2441335)",43.8591383,10.2441335
100,LU,VIAREGGIO,ITIS GALILEI VIAREGGIO,VIA AURELIA NORD,242,Scuola,0,VIAREGGIO VIA AURELIA NORD,"(43.8812223, 10.2487409)",43.8812223,10.2487409
101,LU,VILLA BASILICA,CARTIERA DELLA MADONNINA SPA,Via delle Cartiere,213,IMPIANTO INDUSTRIALE,,VILLA BASILICA Via delle Cartiere,"(43.9143796, 10.6483965)",43.9143796,10.6483965
102,LU,VILLA BASILICA,CARTIERA DELLA MADONNINA SPA,Via delle Cartiere,213,IMPIANTO INDUSTRIALE,,VILLA BASILICA Via delle Cartiere,"(43.9143796, 10.6483965)",43.9143796,10.6483965
103,LU,VILLA BASILICA,CARTIERA DELLA MADONNINA SPA,Via delle Cartiere,213,IMPIANTO INDUSTRIALE,,VILLA BASILICA Via delle Cartiere,,,
104,LU,VILLA BASILICA,CARTIERA DELLA MADONNINA SPA,Via delle Cartiere,213,IMPIANTO INDUSTRIALE,,VILLA BASILICA Via delle Cartiere,"(43.9143796, 10.6483965)",43.9143796,10.6483965
0,MS,AULLA,SCUOLA MEDIA ISTITUTO COMPRENSIVO ALIGHIERI,D. ALIGHIERI,,Scuola,600,AULLA D. ALIGHIERI,,,
1,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Alloggio di servizio,200,AULLA DEL CERRETO,,,
2,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Alloggio di servizio,600,AULLA DEL CERRETO,,,
3,MS,AULLA,MUNIZIONAMENTO AVANZATO,VIA DEL CERRETO,53,Capannone industriale,1000,AULLA VIA DEL CERRETO,,,
4,MS,AULLA,MUNIZIONAMENTO AVANZATO,VIA DEL CERRETO,53,ufficio / autorimessa,800,AULLA VIA DEL CERRETO,,,
5,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,400,AULLA DEL CERRETO,,,
6,MS,AULLA,MUNIZIONAMENTO AVANZATO,VIA DEL CERRETO,53,Ufficio,290,AULLA VIA DEL CERRETO,,,
7,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,1000,AULLA DEL CERRETO,,,
8,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Impianto industriale,93,AULLA DEL CERRETO,,,
9,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,1000,AULLA DEL CERRETO,,,
10,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,188,AULLA DEL CERRETO,,,
11,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,300,AULLA DEL CERRETO,,,
12,MS,AULLA,MUNIZIONAMENTO AVANZATO,VIA DEL CERRETO,53,Magazzino,140,AULLA VIA DEL CERRETO,,,
13,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Capannone industriale,200,AULLA DEL CERRETO,,,
14,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136,AULLA DEL CERRETO,,,
15,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,656,AULLA DEL CERRETO,,,
16,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,307,AULLA DEL CERRETO,,,
17,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136,AULLA DEL CERRETO,,,
18,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136,AULLA DEL CERRETO,,,
19,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136,AULLA DEL CERRETO,,,
20,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,136,AULLA DEL CERRETO,,,
21,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,30,AULLA DEL CERRETO,,,
22,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,40,AULLA DEL CERRETO,,,
23,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,40,AULLA DEL CERRETO,,,
24,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,40,AULLA DEL CERRETO,,,
25,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,300,AULLA DEL CERRETO,,,
26,MS,AULLA,MUNIZIONAMENTO AVANZATO,DEL CERRETO,53,Magazzino,300,AULLA DEL CERRETO,,,
27,MS,CARRARA,PARROCCHIA DELLA SANTISSIMA ANNUNZIATA,VIA BASSAGRANDE,47,Ufficio aperto al pubblico,0,CARRARA VIA BASSAGRANDE,"(44.0469234, 10.027822)",44.0469234,10.027822
28,MS,CARRARA,milcar,VIA AURELIA Km 383,,SITO DISMESSO,,CARRARA VIA AURELIA Km 383,,,
29,MS,CARRARA,syndial,"VIA BASSINA, 37LOC. AVENZA",,SITO DISMESSO,,"CARRARA VIA BASSINA, 37LOC. AVENZA",,,
30,MS,CARRARA,pastificio frediani,VIA AURELIA LOC. AVENZA,,SITO DISMESSO,,CARRARA VIA AURELIA LOC. AVENZA,,,
31,MS,CASOLA IN LUNIGIANA,COMUNE DI CASOLA IN LUNIGIANA,FRAZ. LUSCIGNANO,,Scuola,250,CASOLA IN LUNIGIANA FRAZ. LUSCIGNANO,,,
32,MS,FIVIZZANO,POSTE ITALIANE S.p.A.,PIAZZA CLAUDIO SISTI,1,Ufficio aperto al pubblico,125,FIVIZZANO PIAZZA CLAUDIO SISTI,,,
33,MS,FIVIZZANO,EUROPAPER SPA,piandimolino-monzone,,IMPIANTO INDUSTRIALE,,FIVIZZANO piandimolino-monzone,,,
34,MS,FIVIZZANO,COMUNITA' MONTANA DELLA LUNIGIANA,VIA ALCIDE DE GASPERI,17,Ufficio aperto al pubblico,1500,FIVIZZANO VIA ALCIDE DE GASPERI,,,
35,MS,LICCIANA NARDI,POSTE ITALIANE S.p.A.,VIA PROVINCIALE,10,Ufficio aperto al pubblico,125,LICCIANA NARDI VIA PROVINCIALE,,,
36,MS,LICCIANA NARDI,Comuna di Licciana Nardi,VIA PIANO LICCIANA,,Magazzino,1000,LICCIANA NARDI VIA PIANO LICCIANA,,,
37,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,CASERMA MARINAI,700,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
38,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Capannone industriale,250,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
39,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,Magazzino,300,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
40,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,Magazzino,510,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
42,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,158,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
43,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,158,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
44,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,158,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
45,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,158,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
46,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,300,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
47,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,Magazzino,378,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
48,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,228,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
49,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,158,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
50,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,300,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
51,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,Magazzino,300,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
52,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,Magazzino,300,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
53,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,Magazzino,158,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
54,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,Magazzino,300,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
55,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,Magazzino,648,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
56,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,486,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
57,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,195,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
58,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,378,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
59,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,517,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
60,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,158,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
61,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,,Magazzino,300,LICCIANA NARDI PROVINCIALE SUD- PONTEROTTO,,,
62,MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,,Magazzino,520,LICCIANA NARDI PROVINCIALE SUD -PONTEROTTO,,,
63,MS,MASSA,Gaia SpA,VIA FATTORIA,,depuratore,0,MASSA VIA FATTORIA,"(43.02296335, 11.028609478)",43.02296335,11.028609478
64,MS,MASSA,arpat,del patriota,2,Ufficio aperto al pubblico,2000,MASSA del patriota,"(44.0335985, 10.1398709)",44.0335985,10.1398709
65,MS,MONTIGNOSO,POSTE ITALIANE S.p.A.,VIA ROMA,,Ufficio aperto al pubblico,223,MONTIGNOSO VIA ROMA,"(44.0129033, 10.1626981)",44.0129033,10.1626981
66,MS,PONTREMOLI,COMUNITA' MONTANA DELLA LUNIGIANA,FOGLIO 34 MAPPALE 667,,RIFUGIO,30,PONTREMOLI FOGLIO 34 MAPPALE 667,,,
67,MS,PONTREMOLI,COMUNITA' MONTANA DELLA LUNIGIANA,FOGLIO 11 MAPPALE 109,1,Magazzino,40,PONTREMOLI FOGLIO 11 MAPPALE 109,,,
68,MS,TRESANA,PALESTRA COMUNALE,S. ALLENDE,,Impianto sportivo,1100,TRESANA S. ALLENDE,"(44.2442568, 9.9413037)",44.2442568,9.9413037
69,MS,TRESANA,IMPIANTI SPORTIVI: CAMPO SPORTIVO,PIAZZALE XXV APRILE,1,Ufficio aperto al pubblico,600,TRESANA PIAZZALE XXV APRILE,,,
0,PI,BIENTINA,POSTE ITALIANE S.p.A.,VIA ROMA,5,Ufficio aperto al pubblico,180,BIENTINA VIA ROMA,"(41.9247538, 12.5146761)",41.9247538,12.5146761
1,PI,BIENTINA,BANCA DI CREDITO COOPERATIVO DI BIENTINA SCRL,PIAZZA VITTORIO EMANUELE II,4,Ufficio aperto al pubblico,800,BIENTINA PIAZZA VITTORIO EMANUELE II,"(43.7103445, 10.6195547)",43.7103445,10.6195547
2,PI,CALCI,COMUNE DI CALCI,MONTESERRA - PRATO ALLA TENETA,1,Base elicotteri servizio antincendio,120,CALCI MONTESERRA - PRATO ALLA TENETA,,,
3,PI,CALCI,COMUNE DI CALCI,MONTESERRA,10,base elicotteri,80,CALCI MONTESERRA,,,
4,PI,CALCINAIA,COMUNE DI CALCINAIA,PALESTRA - VIA GENOVA,,Impianto industriale,0,CALCINAIA PALESTRA - VIA GENOVA,,,
5,PI,CALCINAIA,COMUNE DI CALCINAIA,VIA G. LEOPARDI,,Scuola,644,CALCINAIA VIA G. LEOPARDI,,,
6,PI,CALCINAIA,COMUNE DI CALCINAIA,VIA BRUNO BUOZZI,,Scuola,1373,CALCINAIA VIA BRUNO BUOZZI,"(43.6835642, 10.6166175)",43.6835642,10.6166175
7,PI,CASCINA,POSTE ITALIANE S.p.A.,VIA ACHILLE GRANDI,19,Ufficio aperto al pubblico,272,CASCINA VIA ACHILLE GRANDI,"(43.6892392, 10.4921446)",43.6892392,10.4921446
8,PI,CASCINA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),DELLA ROTINA LATIGNANO,,impianto di riduzione gas metano,95,CASCINA DELLA ROTINA LATIGNANO,,,
9,PI,CASCINA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),TITIGNANO,,impianto di riduzione gas metano,75,CASCINA TITIGNANO,"(43.6879677, 10.4574691)",43.6879677,10.4574691
10,PI,CASTELNUOVO DI VAL DI CECINA,COMUNE DI CASTELNUOVO VAL DI CECINA,G. VERDI,1,Ufficio aperto al pubblico,600,CASTELNUOVO DI VAL DI CECINA G. VERDI,,,
11,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo91,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA pozzo91,"(43.210933, 10.901823)",43.210933,10.901823
12,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo98,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA pozzo98,"(43.210933, 10.901823)",43.210933,10.901823
13,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo 106/2,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA pozzo 106/2,,,
14,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,term. coll. Colombaia,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA term. coll. Colombaia,,,
15,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,Piandelgiglio,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA Piandelgiglio,,,
16,PI,CASTELNUOVO DI VAL DI CECINA,COMUNE DI CASTELNUOVO VAL DI CECINA,VIA ROMA,1,Scuola,1000,CASTELNUOVO DI VAL DI CECINA VIA ROMA,"(43.2124445, 10.902834)",43.2124445,10.902834
17,PI,CASTELNUOVO DI VAL DI CECINA,Enel - Unità territoriale di Lago,N4-n5a,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA N4-n5a,,,
18,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,coll. BP lard 2,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA coll. BP lard 2,,,
19,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo 139,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA pozzo 139,,,
20,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo 106/1,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA pozzo 106/1,,,
21,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,pozzo bianchi,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA pozzo bianchi,,,
22,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,coll. BP(n70-n76),,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA coll. BP(n70-n76),,,
23,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,Colombaia 2,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA Colombaia 2,"(43.2178473, 10.8976675)",43.2178473,10.8976675
24,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,camorsi 2,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA camorsi 2,,,
25,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,coll. AP (n66-n90),,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA coll. AP (n66-n90),,,
26,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v45,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v45,"(43.210933, 10.901823)",43.210933,10.901823
27,PI,CASTELNUOVO DI VAL DI CECINA,Enel - Unità territoriale di Lago,Nodo 46 - Nodo 47,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA Nodo 46 - Nodo 47,,,
28,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v19,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v19,"(43.210933, 10.901823)",43.210933,10.901823
29,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v42,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v42,"(43.210933, 10.901823)",43.210933,10.901823
30,PI,CASTELNUOVO DI VAL DI CECINA,Enel - Unità territoriale di Lago,Le Prata 2 - Nodo 68,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA Le Prata 2 - Nodo 68,,,
31,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v98,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v98,"(43.210933, 10.901823)",43.210933,10.901823
32,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,vallonsordo,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA vallonsordo,,,
33,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,SV5,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA SV5,,,
34,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,immis. camorsi-c.le2,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA immis. camorsi-c.le2,,,
35,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,poggiocolombaia,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA poggiocolombaia,,,
36,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,sv2,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA sv2,,,
37,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v sperim. 1,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v sperim. 1,,,
38,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v catarzi,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v catarzi,,,
39,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,caspeci,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA caspeci,,,
40,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,fornace,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA fornace,"(43.15672645, 10.8715321929)",43.15672645,10.8715321929
42,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v93,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v93,,,
43,PI,CASTELNUOVO DI VAL DI CECINA,Enel - Unità territoriale di Lago,Selva 3 - Nodo 46,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA Selva 3 - Nodo 46,,,
44,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,SV5,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA SV5,"(43.210933, 10.901823)",43.210933,10.901823
45,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v16,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v16,"(43.210933, 10.901823)",43.210933,10.901823
